V1(t) V2(t)
0 0
1.98503e-16 0.0980299
7.89106e-16 0.192216
1.76404e-15 0.282709
3.11571e-15 0.369653
2.5e-07 0.453188
2.2252e-06 0.533447
4.16129e-06 0.61056
6.05904e-06 0.684648
7.91921e-06 0.755832
9.74255e-06 0.824224
1.15298e-05 0.889934
1.32816e-05 0.953068
1.49988e-05 1.01373
1.66819e-05 1.07201
1.83317e-05 1.128
1.99489e-05 1.1818
2.1534e-05 1.23349
2.30878e-05 1.28315
2.46108e-05 1.33087
2.61036e-05 1.37671
2.75668e-05 1.42076
2.90011e-05 1.46308
3.0407e-05 1.50373
3.1785e-05 1.5428
3.31358e-05 1.58033
3.44598e-05 1.61639
3.57576e-05 1.65104
3.70297e-05 1.68433
3.82766e-05 1.71631
3.94988e-05 1.74703
4.06968e-05 1.77655
4.18711e-05 1.80491
4.30222e-05 1.83216
4.41504e-05 1.85834
4.52563e-05 1.88349
4.63403e-05 1.90766
4.74029e-05 1.93088
4.84444e-05 1.95318
4.94653e-05 1.97461
5.04659e-05 1.9952
5.14468e-05 2.01498
5.24082e-05 2.03399
5.33506e-05 2.05225
5.42743e-05 2.06979
5.51797e-05 2.08664
5.60673e-05 2.10283
5.69372e-05 2.11839
5.77899e-05 2.13333
5.86257e-05 2.14769
5.9195e-05 2.16149
5.80228e-05 2.17474
5.68739e-05 2.18748
5.57477e-05 2.19971
5.46438e-05 2.21147
5.35618e-05 2.22276
5.25012e-05 2.23361
5.14616e-05 2.24404
5.04426e-05 2.25406
4.94437e-05 2.26368
4.84647e-05 2.27293
4.7505e-05 2.28181
4.65643e-05 2.29035
4.56423e-05 2.29855
4.47385e-05 2.30643
4.38526e-05 2.314
4.29843e-05 2.32128
4.21331e-05 2.32827
4.12988e-05 2.33499
4.0481e-05 2.34144
3.96795e-05 2.34764
3.88937e-05 2.3536
3.81236e-05 2.35932
3.73687e-05 2.36482
3.66287e-05 2.37011
3.59034e-05 2.37518
3.51925e-05 2.38006
3.44956e-05 2.38475
3.38126e-05 2.38925
3.3143e-05 2.39358
3.24867e-05 2.39774
3.18434e-05 2.40173
3.12129e-05 2.40557
3.05948e-05 2.40926
2.9989e-05 2.4128
2.93952e-05 2.41621
2.88131e-05 2.41948
2.82426e-05 2.42263
2.76833e-05 2.42565
2.71352e-05 2.42855
2.65978e-05 2.43134
2.60712e-05 2.43402
2.55549e-05 2.43659
2.50489e-05 2.43907
2.45529e-05 2.44144
2.40667e-05 2.44373
2.35901e-05 2.44592
2.3123e-05 2.44803
2.26652e-05 2.45006
2.22163e-05 2.45201
2.17764e-05 2.45388
2.13452e-05 2.45568
2.09226e-05 2.4574
2.05083e-05 2.45906
2.01022e-05 2.46066
1.97041e-05 2.46219
2.07168e-05 2.46367
2.22867e-05 2.46508
2.38255e-05 2.46644
2.53339e-05 2.46774
