V1(t) V2(t)
0 0
4.81458e-15 0.453667
6.74028e-06 0.825008
1.56172e-05 1.12896
2.36493e-05 1.37776
3.09167e-05 1.58141
3.74924e-05 1.74809
4.34423e-05 1.8845
4.88257e-05 1.99615
5.36968e-05 2.08752
5.68542e-05 2.16229
5.14425e-05 2.22348
4.65459e-05 2.27357
4.21154e-05 2.31458
3.81066e-05 2.34815
3.44794e-05 2.37563
3.11975e-05 2.39813
2.8228e-05 2.41655
2.55411e-05 2.43164
2.31099e-05 2.44399
2.09102e-05 2.45411
1.89199e-05 2.46239
2.38592e-05 2.46916
3.11067e-05 2.4747
3.76644e-05 2.47921
4.35978e-05 2.48289
4.89665e-05 2.48589
5.38241e-05 2.48833
5.82194e-05 2.49032
6.21963e-05 2.49193
6.57947e-05 2.49325
6.23102e-05 2.49432
5.63792e-05 2.49522
5.10127e-05 2.49596
4.61571e-05 2.49658
4.17636e-05 2.4971
3.77883e-05 2.49753
3.41914e-05 2.49789
3.09369e-05 2.4982
2.79921e-05 2.49846
2.53277e-05 2.49868
2.41669e-05 2.49886
3.13851e-05 2.499
3.79162e-05 2.4991
4.38257e-05 2.49917
4.91727e-05 2.49921
5.40107e-05 2.49923
5.83882e-05 2.49924
6.2349e-05 2.49924
6.59329e-05 2.49922
6.79256e-05 2.49921
6.146e-05 2.4992
5.56099e-05 2.49921
5.03167e-05 2.49923
4.55273e-05 2.49925
4.11937e-05 2.49929
3.72727e-05 2.49933
3.37249e-05 2.49936
3.05148e-05 2.4994
2.76102e-05 2.49944
2.49821e-05 2.49948
2.38542e-05 2.49952
3.11021e-05 2.49954
3.76602e-05 2.49955
4.35941e-05 2.49953
4.89631e-05 2.49951
5.38211e-05 2.49948
5.82166e-05 2.49944
6.21938e-05 2.4994
6.57924e-05 2.49936
6.77984e-05 2.49932
6.1345e-05 2.49929
5.55059e-05 2.49928
5.02225e-05 2.49929
4.54421e-05 2.49931
4.11166e-05 2.49933
3.72029e-05 2.49936
3.36618e-05 2.49939
3.04577e-05 2.49943
2.75585e-05 2.49946
2.49354e-05 2.4995
2.25619e-05 2.49953
2.71546e-05 2.49956
3.40884e-05 2.49957
4.03622e-05 2.49956
4.60389e-05 2.49954
5.11752e-05 2.49951
5.58226e-05 2.49947
6.00276e-05 2.49943
6.38324e-05 2.49939
6.72751e-05 2.49935
6.36497e-05 2.49931
5.75912e-05 2.49929
5.21093e-05 2.49929
4.71493e-05 2.49931
4.26614e-05 2.49933
3.86006e-05 2.49935
3.49264e-05 2.49938
3.16019e-05 2.49942
2.85939e-05 2.49945
