V1(t) V2(t)
0 0
4.63542e-11 1.79167e-12
0.0640972 0.00330556
0.105833 0.00705611
0.143812 0.0123444
0.178457 0.0188557
0.210139 0.0263238
0.239178 0.0345246
0.265858 0.0432694
0.290423 0.0524001
0.313091 0.0617846
0.334052 0.0713132
0.353473 0.0808948
0.3715 0.0904549
0.388265 0.0999323
0.403882 0.109278
0.418453 0.118451
0.43207 0.127422
0.444811 0.136165
0.45675 0.144663
0.434244 0.152056
0.400282 0.157423
0.369757 0.160746
0.342255 0.162374
0.317413 0.162603
0.294919 0.161685
0.2745 0.159835
0.255917 0.157233
0.238965 0.154035
0.223462 0.150369
0.209252 0.146346
0.196197 0.142058
0.184175 0.137582
0.173082 0.132982
0.162823 0.128313
0.153319 0.123618
0.144495 0.118934
0.13629 0.114291
0.128646 0.109713
0.121514 0.10522
0.114849 0.100826
0.114862 0.0965437
0.156046 0.0938227
0.193232 0.0932233
0.226892 0.0943648
0.257438 0.0969236
0.285226 0.100625
0.310567 0.105238
0.333734 0.110564
0.354963 0.116439
0.37446 0.122723
0.392408 0.129299
0.408966 0.136069
0.424273 0.142953
0.438451 0.149882
0.45161 0.156802
0.463844 0.163667
0.475238 0.17044
0.485868 0.177092
0.489548 0.1836
0.451812 0.188505
0.417848 0.191238
0.387203 0.192176
0.359483 0.191638
0.334347 0.189894
0.311496 0.187176
0.290671 0.183679
0.271648 0.179567
0.254227 0.17498
0.238238 0.170035
0.223529 0.164832
0.209968 0.159451
0.197438 0.153963
0.185839 0.148423
0.17508 0.142879
0.165082 0.137369
0.155775 0.131924
0.147097 0.12657
0.138993 0.121327
0.131414 0.11621
0.124315 0.11123
0.117659 0.106398
0.145117 0.102566
0.183727 0.100649
0.218618 0.100661
0.250227 0.102253
0.278935 0.105127
0.305073 0.109031
0.328928 0.113752
0.350753 0.119109
0.370768 0.124951
0.389164 0.13115
0.406111 0.137599
0.421755 0.144209
0.436228 0.150906
0.449642 0.157629
0.462099 0.164327
0.473687 0.170959
0.484486 0.177492
0.494564 0.1839
