V1(t) V2(t)
0 0
1.98503e-16 0.0980299
7.89106e-16 0.192216
1.76404e-15 0.282709
3.11571e-15 0.369653
2.5e-07 0.453188
2.2252e-06 0.533447
4.16129e-06 0.61056
6.05904e-06 0.684648
7.91921e-06 0.755832
9.74255e-06 0.824224
1.15298e-05 0.889934
1.32816e-05 0.953068
1.49988e-05 1.01373
1.66819e-05 1.07201
1.83317e-05 1.128
1.99489e-05 1.1818
2.1534e-05 1.23349
2.30878e-05 1.28315
2.46108e-05 1.33087
2.61036e-05 1.37671
2.75668e-05 1.42076
2.90011e-05 1.46308
3.17851e-05 1.54281
3.446e-05 1.61641
3.70299e-05 1.68435
3.94991e-05 1.74706
4.18715e-05 1.80495
4.41508e-05 1.85838
4.63407e-05 1.9077
4.84448e-05 1.95322
5.04664e-05 1.99524
5.24087e-05 2.03403
5.42749e-05 2.06983
5.60678e-05 2.10288
5.77905e-05 2.13338
5.66676e-05 2.16153
5.44455e-05 2.18752
5.23106e-05 2.21151
5.02594e-05 2.23366
4.82886e-05 2.2541
4.63951e-05 2.27298
4.45759e-05 2.2904
4.11482e-05 2.32134
3.79841e-05 2.34771
3.50633e-05 2.37018
3.23671e-05 2.38933
2.98783e-05 2.40565
2.75808e-05 2.41956
2.54599e-05 2.43142
2.35022e-05 2.44152
2.1695e-05 2.45013
2.10268e-05 2.45747
2.70994e-05 2.46372
3.27051e-05 2.46903
3.78798e-05 2.47355
4.70707e-05 2.48067
5.49018e-05 2.4858
6.15743e-05 2.4895
6.00684e-05 2.49216
5.11811e-05 2.49412
4.36086e-05 2.49557
3.16282e-05 2.49747
3.70369e-05 2.4985
5.43345e-05 2.49894
6.688e-05 2.49907
3.47203e-05 2.49926
5.02282e-05 2.49928
6.61613e-05 2.49923
3.43472e-05 2.4993
4.48889e-05 2.49952
7.13894e-05 2.49932
5.29436e-05 2.49935
5.45431e-05 2.49938
7.64014e-05 2.49921
5.55455e-05 2.49929
3.68361e-05 2.4994
6.72089e-05 2.49936
5.07733e-05 2.49939
3.43586e-05 2.49946
6.59227e-05 2.4994
5.01056e-05 2.49941
2.6012e-05 2.49947
4.57073e-05 2.4994
4.47566e-05 2.49935
2.32351e-05 2.4995
4.42657e-05 2.49943
4.40081e-05 2.49937
2.28465e-05 2.49951
4.4064e-05 2.49943
6.29612e-05 2.49931
3.26859e-05 2.49934
4.9172e-05 2.49932
6.5613e-05 2.49925
3.40625e-05 2.49931
4.47411e-05 2.49952
7.13127e-05 2.49932
5.29038e-05 2.49935
5.45224e-05 2.49938
7.63906e-05 2.49921
5.554e-05 2.49929
3.68332e-05 2.4994
6.72074e-05 2.49936
5.07726e-05 2.49939
3.43582e-05 2.49946
6.59225e-05 2.4994
5.01055e-05 2.49941
2.60119e-05 2.49947
4.57073e-05 2.4994
4.47565e-05 2.49935
