V1(t) V2(t)
0 0
0 0
4e-12 0
1.184e-11 8e-14
2.3368e-11 3.136e-13
3.84396e-11 7.68416e-13
0.02 1.50647e-12
0.0392 0.0004
0.05764 0.001168
0.0753578 0.00227408
0.0923889 0.00369027
0.108767 0.00539044
0.124524 0.00735017
0.13969 0.00954665
0.154294 0.0119586
0.168361 0.0145661
0.181918 0.0173507
0.194988 0.020295
0.207595 0.023383
0.219758 0.0265996
0.2315 0.0299307
0.242839 0.0333635
0.253792 0.0368858
0.264378 0.0404862
0.274613 0.0441543
0.284512 0.0478804
0.294089 0.0516554
0.303358 0.055471
0.312333 0.0593193
0.321026 0.0631932
0.329449 0.067086
0.337613 0.0709915
0.345528 0.0749041
0.353205 0.0788185
0.360653 0.0827299
0.367882 0.0866338
0.374899 0.0905261
0.381714 0.094403
0.388333 0.0982612
0.394765 0.102097
0.401017 0.105909
0.407094 0.109693
0.413004 0.113447
0.418753 0.117169
0.424346 0.120857
0.42979 0.12451
0.435088 0.128125
0.440247 0.131702
0.445271 0.135239
0.450165 0.138735
0.454933 0.142189
0.43958 0.1456
0.424909 0.148568
0.410884 0.151123
0.397471 0.153296
0.384638 0.155113
0.372355 0.156602
0.360592 0.157785
0.349324 0.158685
0.338525 0.159324
0.328171 0.159722
0.318238 0.159896
0.308707 0.159865
0.299556 0.159645
0.290766 0.15925
0.282321 0.158695
0.274202 0.157994
0.266394 0.157158
0.258881 0.1562
0.25165 0.155129
0.244686 0.153957
0.237978 0.152693
0.231513 0.151344
0.225279 0.149921
0.219266 0.14843
0.213464 0.146878
0.207863 0.145272
0.202454 0.143618
0.197228 0.141923
0.192178 0.14019
0.187294 0.138426
0.182571 0.136635
0.178001 0.134821
0.173577 0.132988
0.169294 0.13114
0.165145 0.129281
0.161125 0.127412
0.157228 0.125538
0.15345 0.123661
0.149785 0.121784
0.146229 0.119908
0.142778 0.118037
0.139428 0.116171
0.136174 0.114312
0.133013 0.112463
0.129942 0.110625
0.126957 0.108799
0.124055 0.106986
0.121232 0.105188
0.118487 0.103405
0.115815 0.101638
0.113216 0.0998892
0.110685 0.0981579
0.10822 0.0964453
0.105821 0.0947519
0.103483 0.0930782
0.101205 0.0914248
0.118985 0.0897919
0.136022 0.0885799
0.152352 0.0877571
0.168014 0.0872939
0.183039 0.0871624
0.197461 0.0873367
0.211309 0.0877924
0.224612 0.0885069
0.237398 0.0894589
0.249691 0.0906285
0.261516 0.0919972
0.272895 0.0935476
0.283851 0.0952636
0.294402 0.0971301
0.304568 0.0991329
0.314368 0.101259
0.323819 0.103496
0.332936 0.105833
0.341735 0.108258
0.350231 0.110762
0.358437 0.113336
0.366366 0.115972
