V1(t) V2(t)
0 0
0 0
1e-10 0
0.1 1e-11
0.18 0.01
0.245 0.026
0.2986 0.0453
0.34341 0.0661
0.381338 0.087221
0.413793 0.107911
0.441825 0.127708
0.366231 0.146349
0.30762 0.153702
0.261466 0.153724
0.224545 0.149125
0.194549 0.141755
0.169814 0.132859
0.149137 0.123268
0.131637 0.113528
0.116662 0.103986
0.103728 0.0948554
0.0924683 0.0862571
0.0826003 0.0782525
0.173906 0.0708621
0.246211 0.0740802
0.304377 0.0838852
0.35189 0.0975458
0.391266 0.113226
0.424336 0.129707
0.452439 0.146199
0.476571 0.162203
0.497477 0.17742
0.415724 0.191684
0.351747 0.194919
0.30089 0.19111
0.259823 0.182977
0.226156 0.172364
0.198161 0.160507
0.17458 0.148222
0.154486 0.136035
0.137192 0.124277
0.122181 0.113141
0.209059 0.102731
0.27752 0.10309
0.332325 0.110224
0.376883 0.121412
0.413647 0.134818
0.4444 0.149219
0.470442 0.163815
0.492735 0.178096
0.511998 0.191751
0.428773 0.2046
0.363478 0.206557
0.311439 0.201594
0.26931 0.192419
0.23469 0.180866
0.205839 0.168162
0.181487 0.155113
0.160701 0.142239
0.142785 0.129862
0.127214 0.118168
0.113588 0.107256
0.201596 0.0971633
0.270993 0.0978902
0.326583 0.105412
0.371808 0.116988
0.409145 0.130771
0.440393 0.145531
0.466868 0.160464
0.489541 0.175058
0.509138 0.189001
0.426211 0.202114
0.36118 0.204313
0.309375 0.199568
0.267457 0.190592
0.233025 0.179219
0.204342 0.166678
0.180141 0.153776
0.159491 0.141035
0.141696 0.128777
0.126235 0.117191
0.112707 0.106377
0.100803 0.096372
0.19028 0.0871779
0.260942 0.0887703
0.31763 0.0971104
0.363815 0.109451
0.401997 0.123943
0.433992 0.139354
0.461129 0.154882
0.484391 0.170019
0.504515 0.184454
0.422057 0.198015
0.357447 0.200618
0.30602 0.196239
0.26444 0.187593
0.230311 0.176518
0.201901 0.164246
0.177945 0.151587
0.157515 0.139064
