V1(t) V2(t)
0 0
5e-11 5e-11
0.05 0.05
0.13525 0.13525
0.212401 0.212401
0.282223 0.282223
0.345412 0.345412
0.402598 0.402598
0.454351 0.454351
0.501188 0.501188
0.493575 0.493575
0.446685 0.446685
0.40425 0.40425
0.365846 0.365846
0.331091 0.331091
0.299637 0.299637
0.271172 0.271172
0.24541 0.24541
0.222096 0.222096
0.200997 0.200997
0.181903 0.181903
0.164622 0.164622
0.198983 0.198983
0.270079 0.270079
0.334422 0.334422
0.392652 0.392652
0.44535 0.44535
0.493042 0.493042
0.536203 0.536203
0.575263 0.575263
0.610613 0.610613
0.592605 0.592605
0.536308 0.536308
0.485358 0.485358
0.439249 0.439249
0.397521 0.397521
0.359756 0.359756
0.325579 0.325579
0.294649 0.294649
0.266658 0.266658
0.241325 0.241325
0.268399 0.268399
0.332901 0.332901
0.391276 0.391276
0.444105 0.444105
0.491915 0.491915
0.535183 0.535183
0.57434 0.57434
0.609778 0.609778
0.641849 0.641849
0.620873 0.620873
0.56189 0.56189
0.508511 0.508511
0.460202 0.460202
0.416483 0.416483
0.376917 0.376917
0.34111 0.34111
0.308705 0.308705
0.279378 0.279378
0.252837 0.252837
0.228817 0.228817
0.25708 0.25708
0.322657 0.322657
0.382005 0.382005
0.435714 0.435714
0.484321 0.484321
0.528311 0.528311
0.568121 0.568121
0.60415 0.60415
0.636756 0.636756
0.616264 0.616264
0.557719 0.557719
0.504735 0.504735
0.456786 0.456786
0.413391 0.413391
0.374119 0.374119
0.338578 0.338578
0.306413 0.306413
0.277303 0.277303
0.25096 0.25096
0.227118 0.227118
0.205542 0.205542
0.236016 0.236016
0.303594 0.303594
0.364753 0.364753
0.420101 0.420101
0.470192 0.470192
0.515523 0.515523
0.556549 0.556549
0.593677 0.593677
0.627277 0.627277
0.607686 0.607686
0.549956 0.549956
0.49771 0.49771
0.450428 0.450428
0.407637 0.407637
0.368911 0.368911
0.333865 0.333865
0.302148 0.302148
0.273444 0.273444
