V1(t) V2(t)
0 0
2e-16 2e-16
7.9204e-16 7.9204e-16
1.76836e-15 1.76836e-15
3.12134e-15 3.12134e-15
1e-06 1e-06
2.9602e-06 2.9602e-06
4.88159e-06 4.88159e-06
6.76493e-06 6.76493e-06
8.61099e-06 8.61099e-06
1.04205e-05 1.04205e-05
1.21942e-05 1.21942e-05
1.39327e-05 1.39327e-05
1.56369e-05 1.56369e-05
1.73072e-05 1.73072e-05
1.89446e-05 1.89446e-05
2.05495e-05 2.05495e-05
2.21226e-05 2.21226e-05
2.36645e-05 2.36645e-05
2.5176e-05 2.5176e-05
2.66575e-05 2.66575e-05
2.81097e-05 2.81097e-05
2.95331e-05 2.95331e-05
3.09284e-05 3.09284e-05
3.2296e-05 3.2296e-05
3.36365e-05 3.36365e-05
3.49505e-05 3.49505e-05
3.62385e-05 3.62385e-05
3.7501e-05 3.7501e-05
3.87385e-05 3.87385e-05
3.99514e-05 3.99514e-05
4.11404e-05 4.11404e-05
4.23058e-05 4.23058e-05
4.34482e-05 4.34482e-05
4.45679e-05 4.45679e-05
4.56654e-05 4.56654e-05
4.67413e-05 4.67413e-05
4.77958e-05 4.77958e-05
4.88294e-05 4.88294e-05
4.98426e-05 4.98426e-05
5.08357e-05 5.08357e-05
5.18092e-05 5.18092e-05
5.27634e-05 5.27634e-05
5.36986e-05 5.36986e-05
5.46154e-05 5.46154e-05
5.5514e-05 5.5514e-05
5.63948e-05 5.63948e-05
5.72582e-05 5.72582e-05
5.81045e-05 5.81045e-05
5.8934e-05 5.8934e-05
5.87472e-05 5.87472e-05
5.7584e-05 5.7584e-05
5.64438e-05 5.64438e-05
5.53262e-05 5.53262e-05
5.42307e-05 5.42307e-05
5.3157e-05 5.3157e-05
5.21045e-05 5.21045e-05
5.10728e-05 5.10728e-05
5.00616e-05 5.00616e-05
4.90703e-05 4.90703e-05
4.80988e-05 4.80988e-05
4.71464e-05 4.71464e-05
4.62129e-05 4.62129e-05
4.52979e-05 4.52979e-05
4.4401e-05 4.4401e-05
4.35218e-05 4.35218e-05
4.26601e-05 4.26601e-05
4.18154e-05 4.18154e-05
4.09875e-05 4.09875e-05
4.01759e-05 4.01759e-05
3.93805e-05 3.93805e-05
3.86007e-05 3.86007e-05
3.78364e-05 3.78364e-05
3.70873e-05 3.70873e-05
3.63529e-05 3.63529e-05
3.56332e-05 3.56332e-05
3.49276e-05 3.49276e-05
3.42361e-05 3.42361e-05
3.35582e-05 3.35582e-05
3.28937e-05 3.28937e-05
3.22424e-05 3.22424e-05
3.1604e-05 3.1604e-05
3.09783e-05 3.09783e-05
3.03649e-05 3.03649e-05
2.97637e-05 2.97637e-05
2.91744e-05 2.91744e-05
2.85967e-05 2.85967e-05
2.80305e-05 2.80305e-05
2.74755e-05 2.74755e-05
2.69315e-05 2.69315e-05
2.63982e-05 2.63982e-05
2.58755e-05 2.58755e-05
2.53632e-05 2.53632e-05
2.4861e-05 2.4861e-05
2.43688e-05 2.43688e-05
2.38863e-05 2.38863e-05
2.34133e-05 2.34133e-05
2.29497e-05 2.29497e-05
2.24953e-05 2.24953e-05
2.20499e-05 2.20499e-05
2.16133e-05 2.16133e-05
2.11854e-05 2.11854e-05
2.07659e-05 2.07659e-05
2.03548e-05 2.03548e-05
1.99517e-05 1.99517e-05
1.95567e-05 1.95567e-05
2.01695e-05 2.01695e-05
2.17501e-05 2.17501e-05
2.32995e-05 2.32995e-05
2.48181e-05 2.48181e-05
2.63067e-05 2.63067e-05
2.77659e-05 2.77659e-05
2.91961e-05 2.91961e-05
3.0598e-05 3.0598e-05
3.19722e-05 3.19722e-05
3.33191e-05 3.33191e-05
3.46394e-05 3.46394e-05
3.59335e-05 3.59335e-05
